# Public Google Drive file inventory for the assignment dataset.
# file_id	filename	size_bytes
1P47kEQP44PD6IihQfPx8C8DK0JhsK8Kw	dji_20250111171327_0100_v.jpg	8273920
1tOqtE5XIbgXu1rJpFdkSs4BN9cyo2lya	dji_20250111171328_0101_v.jpg	8134656
1VFfME5OlJCaf9zoXAKRkAQWKqk3yBeMw	dji_20250111171329_0102_v.jpg	8269824
1-jPrp2_-Cr010Bj8sLtqNmEo7c8ZAey7	dji_20250111171330_0103_v.jpg	8290304
1_kamS-RD8Qv4e4Qk6-y4yUz-67XTu57E	dji_20250111171331_0104_v.jpg	8306688
1cvyBR3mFm-sx9Uq0C-_I5xB0nhOM6VNc	dji_20250111171332_0105_v.jpg	8138752
1CGGo_A4KM3RrYoKlY73noUkz7kObse7f	dji_20250111171333_0106_v.jpg	8273920
1WXZ7BtvpF3pTrmMdtJabzp2eXXOPTX3w	dji_20250111171334_0107_v.jpg	8597504
1Rb22q6naBC_cWq-V20EX2cknaaSMwPV2	dji_20250111171335_0108_v.jpg	8650752
1XrIUoSki76eK1Ku2_MJB-gCsEQMJ71YX	dji_20250111171336_0109_v.jpg	8724480
1ulageGeIhAPYTgdHvl9pz8hTHIq0tm34	dji_20250111171337_0110_v.jpg	8339456
1oKvQi_LMWLdl379Ef35ChALFKQpFlVMp	dji_20250111171338_0111_v.jpg	8245248
1MKvzJFni6YBMYRRFYqBwGeGUtzSJodTw	dji_20250111171339_0112_v.jpg	8138752
1BFj0m1g58VrFfrvWPhFrTtEWqcrR0ebG	dji_20250111171340_0113_v.jpg	8368128
16qyqDheFKLmIpwmaiyqYocpEMB14WnzS	dji_20250111171341_0114_v.jpg	8372224
17rnuL6-GVaRhqNuNlIurGxzZdz0Yi89M	dji_20250111171342_0115_v.jpg	8429568
1BB7kgWgZXFNlC9rUSA1amAFlbB51HPt8	dji_20250111171343_0116_v.jpg	8667136
1VHd_Kd6ubHaqSN3SwetMdFPwVBWLE2U7	dji_20250111171344_0117_v.jpg	8704000
19glPy4y_BUlyPkUDTuAVaw8w_wTwslD5	dji_20250111171345_0118_v.jpg	8507392
1UXI9RWNBxlgYsSGFGpB9iMm6P9AmanwW	dji_20250111171346_0119_v.jpg	8540160
1LDJaldqGy1WA539PH-2kupKy1H3fVAjl	dji_20250111171347_0120_v.jpg	8568832
1Trj7SP26Gv1q8_dsv1kKO0DEbBqDH22t	dji_20250111171348_0121_v.jpg	8585216
1OCy_hBG3KSQKqGeaF7SHS19VEizjnpx-	dji_20250111171349_0122_v.jpg	8863744
1rwJNMIc3Uk7EUAWtdR9ZK9191cd9Cd3u	dji_20250111171350_0123_v.jpg	8720384
1lwe8jzU63bBJdmobhr8tc0LQd5KrLtEW	dji_20250111171351_0124_v.jpg	9187328
1HcW7DN5S4fDB0DRUAC1GCxjddV_N_qPh	dji_20250111171352_0125_v.jpg	8425472
1G1wXczSLZvpiAadnkeZnIr4Ta_pWrX4c	dji_20250111171353_0126_v.jpg	7970816
